label -> error: 0.0041361195	CV error: 0.0034149913	epochs: 326000 / 1000000
label -> error: 0.0032584765	CV error: 0.0032509025	epochs: 327000 / 1000000
label -> error: 0.0031239865	CV error: 0.0034225956	epochs: 328000 / 1000000
label -> error: 0.0031904038	CV error: 0.0037171287	epochs: 329000 / 1000000
label -> error: 0.003254724	CV error: 0.0037303653	epochs: 330000 / 1000000
label -> error: 0.00386129	CV error: 0.0036104482	epochs: 331000 / 1000000
label -> error: 0.0041776546	CV error: 0.0036615618	epochs: 332000 / 1000000
label -> error: 0.0032940938	CV error: 0.0034891572	epochs: 333000 / 1000000
label -> error: 0.003432924	CV error: 0.0030561876	epochs: 334000 / 1000000
label -> error: 0.0034287616	CV error: 0.0023916902	epochs: 335000 / 1000000
label -> error: 0.003246707	CV error: 0.003023067	epochs: 336000 / 1000000
label -> error: 0.0032500464	CV error: 0.0036969162	epochs: 337000 / 1000000
label -> error: 0.002949877	CV error: 0.0034150186	epochs: 338000 / 1000000
label -> error: 0.0033491023	CV error: 0.0029902556	epochs: 339000 / 1000000
label -> error: 0.0020492065	CV error: 0.0033409956	epochs: 340000 / 1000000
label -> error: 0.0038282843	CV error: 0.0025700037	epochs: 341000 / 1000000
label -> error: 0.0031626602	CV error: 0.003960737	epochs: 342000 / 1000000
label -> error: 0.0029292225	CV error: 0.0036660782	epochs: 343000 / 1000000
label -> error: 0.0036638158	CV error: 0.0034066977	epochs: 344000 / 1000000
label -> error: 0.0032377492	CV error: 0.003111889	epochs: 345000 / 1000000
label -> error: 0.003477569	CV error: 0.0028417632	epochs: 346000 / 1000000
label -> error: 0.0036505219	CV error: 0.003311267	epochs: 347000 / 1000000
label -> error: 0.002869185	CV error: 0.0029701553	epochs: 348000 / 1000000
label -> error: 0.003045639	CV error: 0.004139666	epochs: 349000 / 1000000
label -> error: 0.0031673952	CV error: 0.0031019081	epochs: 350000 / 1000000
label -> error: 0.0036407423	CV error: 0.0036459921	epochs: 351000 / 1000000
label -> error: 0.0032460715	CV error: 0.0034293102	epochs: 352000 / 1000000
label -> error: 0.003918976	CV error: 0.003807334	epochs: 353000 / 1000000
label -> error: 0.0037275415	CV error: 0.0032055308	epochs: 354000 / 1000000
label -> error: 0.0031511474	CV error: 0.003250055	epochs: 355000 / 1000000
label -> error: 0.0037932293	CV error: 0.002898407	epochs: 356000 / 1000000
label -> error: 0.0038523106	CV error: 0.0033271902	epochs: 357000 / 1000000
label -> error: 0.0034576047	CV error: 0.003875755	epochs: 358000 / 1000000
label -> error: 0.0030574834	CV error: 0.0027808817	epochs: 359000 / 1000000
label -> error: 0.0033140804	CV error: 0.0027259188	epochs: 360000 / 1000000
label -> error: 0.0037107193	CV error: 0.003256852	epochs: 361000 / 1000000
label -> error: 0.0033391493	CV error: 0.0035364425	epochs: 362000 / 1000000
label -> error: 0.0032764773	CV error: 0.0028032383	epochs: 363000 / 1000000
label -> error: 0.0033368007	CV error: 0.0029098724	epochs: 364000 / 1000000
label -> error: 0.0029004684	CV error: 0.0033685453	epochs: 365000 / 1000000
