Images loaded
Labels loaded
Classes loaded
image input size: 75
label input size: 34
start training
labels: 0.0022456914	images: 0.0042099203	combi: 0.032692067	epochs: 260000 / 1000000
labels: 0.0015881659	images: 0.004375674	combi: 0.03269027	epochs: 261000 / 1000000
labels: 9.178097E-4	images: 0.004362767	combi: 0.032602713	epochs: 262000 / 1000000
labels: 0.0012971223	images: 0.0040046982	combi: 0.03272467	epochs: 263000 / 1000000
labels: 0.002245634	images: 0.0042812536	combi: 0.03239627	epochs: 264000 / 1000000
labels: 0.001833983	images: 0.0044437805	combi: 0.03301049	epochs: 265000 / 1000000
labels: 9.183705E-4	images: 0.004118916	combi: 0.032508757	epochs: 266000 / 1000000
labels: 9.1787276E-4	images: 0.0043198294	combi: 0.032593764	epochs: 267000 / 1000000
labels: 0.0024258955	images: 0.00420762	combi: 0.032915197	epochs: 268000 / 1000000
labels: 0.0015883201	images: 0.00425428	combi: 0.03280112	epochs: 269000 / 1000000
labels: 0.0018337393	images: 0.0041368026	combi: 0.0328885	epochs: 270000 / 1000000
labels: 0.002050097	images: 0.004212123	combi: 0.032685194	epochs: 271000 / 1000000
labels: 0.0015885746	images: 0.0043038367	combi: 0.032782383	epochs: 272000 / 1000000
labels: 0.001833758	images: 0.004165082	combi: 0.032808777	epochs: 273000 / 1000000
labels: 0.00224561	images: 0.0044145645	combi: 0.032887295	epochs: 274000 / 1000000
labels: 0.0020501313	images: 0.0040755626	combi: 0.032990742	epochs: 275000 / 1000000
labels: 0.002050096	images: 0.0043779397	combi: 0.03300526	epochs: 276000 / 1000000
labels: 0.0022457575	images: 0.004139123	combi: 0.032878738	epochs: 277000 / 1000000
labels: 0.0012971339	images: 0.004282355	combi: 0.032922976	epochs: 278000 / 1000000
labels: 0.0018337162	images: 0.0041037044	combi: 0.03272994	epochs: 279000 / 1000000
labels: 9.1679767E-4	images: 0.0043334845	combi: 0.0327593	epochs: 280000 / 1000000
labels: 0.0018337407	images: 0.004410236	combi: 0.032795344	epochs: 281000 / 1000000
labels: 9.1766455E-4	images: 0.0045128264	combi: 0.03317314	epochs: 282000 / 1000000
labels: 0.0012969628	images: 0.003951851	combi: 0.033025287	epochs: 283000 / 1000000
labels: 0.0018335206	images: 0.0043128375	combi: 0.03311962	epochs: 284000 / 1000000
labels: 0.0012966342	images: 0.00417292	combi: 0.03292459	epochs: 285000 / 1000000
labels: 0.0015879923	images: 0.0043881624	combi: 0.033141207	epochs: 286000 / 1000000
labels: 0.0012965759	images: 0.0041846856	combi: 0.03293426	epochs: 287000 / 1000000
labels: 9.172308E-4	images: 0.0041437373	combi: 0.032780074	epochs: 288000 / 1000000
labels: 0.0018338498	images: 0.0040013334	combi: 0.032670546	epochs: 289000 / 1000000
labels: 0.002750423	images: 0.004354693	combi: 0.033023693	epochs: 290000 / 1000000
labels: 0.0015879566	images: 0.0042770915	combi: 0.032960806	epochs: 291000 / 1000000
labels: 0.0012965754	images: 0.004187825	combi: 0.033012185	epochs: 292000 / 1000000
labels: 0.0020498913	images: 0.004352693	combi: 0.0329121	epochs: 293000 / 1000000
labels: 0.0018336403	images: 0.004289105	combi: 0.032966968	epochs: 294000 / 1000000
labels: 0.0018337436	images: 0.004268804	combi: 0.032984357	epochs: 295000 / 1000000
labels: 0.0012968929	images: 0.0041309088	combi: 0.032934967	epochs: 296000 / 1000000
labels: 0.0012968786	images: 0.0041787946	combi: 0.033103235	epochs: 297000 / 1000000
labels: 0.0012969581	images: 0.004399096	combi: 0.033317946	epochs: 298000 / 1000000
labels: 0.002050032	images: 0.0040391437	combi: 0.03293646	epochs: 299000 / 1000000
labels: 0.0012966725	images: 0.0041648042	combi: 0.032810107	epochs: 300000 / 1000000
labels: 0.0018336371	images: 0.004451112	combi: 0.033181988	epochs: 301000 / 1000000
labels: 0.0018334757	images: 0.0044161165	combi: 0.033106368	epochs: 302000 / 1000000
labels: 9.173299E-4	images: 0.0040284516	combi: 0.03297604	epochs: 303000 / 1000000
labels: 9.171792E-4	images: 0.003936276	combi: 0.032871384	epochs: 304000 / 1000000
labels: 0.0018337081	images: 0.0040260185	combi: 0.033101026	epochs: 305000 / 1000000
labels: 0.0015881034	images: 0.0042930883	combi: 0.03322771	epochs: 306000 / 1000000
labels: 0.0018336717	images: 0.004086201	combi: 0.033163298	epochs: 307000 / 1000000
labels: 0.0012968399	images: 0.0042106374	combi: 0.033036977	epochs: 308000 / 1000000
labels: 0.0022458981	images: 0.0040336554	combi: 0.032667898	epochs: 309000 / 1000000
labels: 0.0024257235	images: 0.004277702	combi: 0.03323308	epochs: 310000 / 1000000
